,display_label,sample_id,exp_value,source,label
5974,Pyridoxal,14-00126,1.1329216822649546,metabolomics,Pyridoxal_met_HILIC
5975,Pyridoxal,14-00127,-0.4471288140634661,metabolomics,Pyridoxal_met_HILIC
5976,Pyridoxal,14-00272,-0.3026978823669261,metabolomics,Pyridoxal_met_HILIC
5977,Pyridoxal,14-00240,0.9001902220627018,metabolomics,Pyridoxal_met_HILIC
5978,Pyridoxal,14-00423,-0.5568817561111308,metabolomics,Pyridoxal_met_HILIC
5979,Pyridoxal,14-00193,2.0151624328907394,metabolomics,Pyridoxal_met_HILIC
5980,Pyridoxal,14-00270,-0.7753859079550766,metabolomics,Pyridoxal_met_HILIC
5981,Pyridoxal,14-00434,-0.5551510274016482,metabolomics,Pyridoxal_met_HILIC
5982,Pyridoxal,14-00477,-0.30290959196066036,metabolomics,Pyridoxal_met_HILIC
5983,Pyridoxal,14-00495,1.7154900512008495,metabolomics,Pyridoxal_met_HILIC
5984,Pyridoxal,14-00514,-1.072760314672343,metabolomics,Pyridoxal_met_HILIC
5985,Pyridoxal,14-00528,-0.2432053048840815,metabolomics,Pyridoxal_met_HILIC
5986,Pyridoxal,14-00608,0.6058155068319842,metabolomics,Pyridoxal_met_HILIC
5987,Pyridoxal,14-00613,0.6522986405135682,metabolomics,Pyridoxal_met_HILIC
5988,Pyridoxal,14-00711,-1.187240747571938,metabolomics,Pyridoxal_met_HILIC
5989,Pyridoxal,14-00712,0.4795782064757737,metabolomics,Pyridoxal_met_HILIC
5990,Pyridoxal,15-00043,0.7558293184630517,metabolomics,Pyridoxal_met_HILIC
5991,Pyridoxal,15-00051,1.281340687195406,metabolomics,Pyridoxal_met_HILIC
5992,Pyridoxal,15-00137,-1.1710094084576381,metabolomics,Pyridoxal_met_HILIC
5993,Pyridoxal,15-00302,-0.5873402437459913,metabolomics,Pyridoxal_met_HILIC
5994,Pyridoxal,15-00377,-1.079179745276131,metabolomics,Pyridoxal_met_HILIC
5995,Pyridoxal,13-00615,1.4099229524819903,metabolomics,Pyridoxal_met_HILIC
5996,Pyridoxal,18-00190,-0.8136524291079794,metabolomics,Pyridoxal_met_HILIC
5997,Pyridoxal,14-00817,-0.9439864779638261,metabolomics,Pyridoxal_met_HILIC
5998,Pyridoxal,15-00276,0.11330502773049873,metabolomics,Pyridoxal_met_HILIC
5999,Pyridoxal,15-00287,-0.9517868515382601,metabolomics,Pyridoxal_met_HILIC
6000,Pyridoxal,18-00218,-2.0473168010417817,metabolomics,Pyridoxal_met_HILIC
6001,Pyridoxal,15-00482,-0.672044924081981,metabolomics,Pyridoxal_met_HILIC
6002,Pyridoxal,15-00563,-0.2810613659775218,metabolomics,Pyridoxal_met_HILIC
6003,Pyridoxal,15-00571,1.3939557843597543,metabolomics,Pyridoxal_met_HILIC
6004,Pyridoxal,15-00578,-1.2941113233560884,metabolomics,Pyridoxal_met_HILIC
6005,Pyridoxal,15-00837,-1.123358157692575,metabolomics,Pyridoxal_met_HILIC
6006,Pyridoxine,12-00032,0.09261684590651358,metabolomics,Pyridoxine_met_HILIC
6007,Pyridoxine,11-00503,-0.42975728271495917,metabolomics,Pyridoxine_met_HILIC
6008,Pyridoxine,12-00069,5.652067495031239,metabolomics,Pyridoxine_met_HILIC
6009,Pyridoxine,13-00468,-0.45292005963626786,metabolomics,Pyridoxine_met_HILIC
6010,Pyridoxine,18-00103,-0.5413196592383763,metabolomics,Pyridoxine_met_HILIC
6011,Pyridoxine,12-00123,-0.49065447082912905,metabolomics,Pyridoxine_met_HILIC
6012,Pyridoxine,18-00101,0.018223050151059947,metabolomics,Pyridoxine_met_HILIC
6013,Pyridoxine,12-00127,1.0558078439516096,metabolomics,Pyridoxine_met_HILIC
6014,Pyridoxine,12-00145,-0.18947653890050978,metabolomics,Pyridoxine_met_HILIC
6015,Pyridoxine,12-00154,-0.49109593559398496,metabolomics,Pyridoxine_met_HILIC
6016,Pyridoxine,12-00196,-0.521237716439785,metabolomics,Pyridoxine_met_HILIC
6017,Pyridoxine,12-00250,0.20504475043424328,metabolomics,Pyridoxine_met_HILIC
6018,Pyridoxine,12-00268,1.2963182155046564,metabolomics,Pyridoxine_met_HILIC
6019,Pyridoxine,12-00294,-0.5555169971150951,metabolomics,Pyridoxine_met_HILIC
6020,Pyridoxine,18-00149,-0.41314601345730423,metabolomics,Pyridoxine_met_HILIC
6021,Pyridoxine,12-00383,0.0064595296483241455,metabolomics,Pyridoxine_met_HILIC
6022,Pyridoxine,13-00016,-0.1964877686189787,metabolomics,Pyridoxine_met_HILIC
6023,Pyridoxine,13-00033,-0.29366929263254193,metabolomics,Pyridoxine_met_HILIC
6024,Pyridoxine,13-00034,-0.6545532717417234,metabolomics,Pyridoxine_met_HILIC
6025,Pyridoxine,13-00047,-0.6208700502220621,metabolomics,Pyridoxine_met_HILIC
6026,Pyridoxine,13-00059,-0.3164268559444303,metabolomics,Pyridoxine_met_HILIC
