,display_label,sample_id,exp_value,source,label
95,Acetyl-DL-carnitine,13-00033,-8895358.326774985,metabolomics_RP,Acetyl-DL-carnitine_met_RP
96,Acetyl-DL-carnitine,13-00034,107566332.462735,metabolomics_RP,Acetyl-DL-carnitine_met_RP
97,Acetyl-DL-carnitine,13-00047,230009410.64028698,metabolomics_RP,Acetyl-DL-carnitine_met_RP
98,Acetyl-DL-carnitine,13-00059,37007419.86916602,metabolomics_RP,Acetyl-DL-carnitine_met_RP
99,Acetyl-DL-carnitine,13-00075,-31991972.239275992,metabolomics_RP,Acetyl-DL-carnitine_met_RP
100,Acetyl-DL-carnitine,13-00077,-60043785.99876198,metabolomics_RP,Acetyl-DL-carnitine_met_RP
101,Acetyl-DL-carnitine,13-00092,-98378825.514377,metabolomics_RP,Acetyl-DL-carnitine_met_RP
102,Acetyl-DL-carnitine,13-00123,-51120108.525267005,metabolomics_RP,Acetyl-DL-carnitine_met_RP
103,Acetyl-DL-carnitine,13-00157,0.0,metabolomics_RP,Acetyl-DL-carnitine_met_RP
104,Acetyl-DL-carnitine,13-00160,63431201.83283299,metabolomics_RP,Acetyl-DL-carnitine_met_RP
105,Acetyl-DL-carnitine,13-00186,218421724.619092,metabolomics_RP,Acetyl-DL-carnitine_met_RP
106,Acetyl-DL-carnitine,13-00195,-33704074.30018398,metabolomics_RP,Acetyl-DL-carnitine_met_RP
107,Acetyl-DL-carnitine,13-00262,-119907259.51482509,metabolomics_RP,Acetyl-DL-carnitine_met_RP
108,Acetyl-DL-carnitine,13-00331,-27090709.30013299,metabolomics_RP,Acetyl-DL-carnitine_met_RP
109,Acetyl-DL-carnitine,13-00393,303113128.145578,metabolomics_RP,Acetyl-DL-carnitine_met_RP
110,Acetyl-DL-carnitine,13-00149,518377380.436271,metabolomics_RP,Acetyl-DL-carnitine_met_RP
111,Acetyl-DL-carnitine,13-00147,-146944878.3752017,metabolomics_RP,Acetyl-DL-carnitine_met_RP
112,Acetyl-DL-carnitine,13-00450,-61968439.130670995,metabolomics_RP,Acetyl-DL-carnitine_met_RP
113,Acetyl-DL-carnitine,13-00245,-79256945.631762,metabolomics_RP,Acetyl-DL-carnitine_met_RP
114,Acetyl-DL-carnitine,13-00226,100889863.11859304,metabolomics_RP,Acetyl-DL-carnitine_met_RP
115,Acetyl-DL-carnitine,13-00558,228777869.18245703,metabolomics_RP,Acetyl-DL-carnitine_met_RP
116,Acetyl-DL-carnitine,18-00203,193252487.392299,metabolomics_RP,Acetyl-DL-carnitine_met_RP
117,Acetyl-DL-carnitine,13-00581,-160289755.9023136,metabolomics_RP,Acetyl-DL-carnitine_met_RP
118,Acetyl-DL-carnitine,13-00584,-17141387.650804996,metabolomics_RP,Acetyl-DL-carnitine_met_RP
119,Acetyl-DL-carnitine,13-00602,72016057.168625,metabolomics_RP,Acetyl-DL-carnitine_met_RP
120,Acetyl-DL-carnitine,14-00045,94908878.42210603,metabolomics_RP,Acetyl-DL-carnitine_met_RP
121,Acetyl-DL-carnitine,14-00065,423761850.278773,metabolomics_RP,Acetyl-DL-carnitine_met_RP
122,Acetyl-DL-carnitine,14-00083,35265427.589765996,metabolomics_RP,Acetyl-DL-carnitine_met_RP
123,Acetyl-DL-carnitine,14-00092,307392592.056054,metabolomics_RP,Acetyl-DL-carnitine_met_RP
124,Acetyl-DL-carnitine,14-00126,142359263.761124,metabolomics_RP,Acetyl-DL-carnitine_met_RP
125,Acetyl-DL-carnitine,14-00127,-13796069.86617899,metabolomics_RP,Acetyl-DL-carnitine_met_RP
126,Acetyl-DL-carnitine,14-00272,212425064.91484898,metabolomics_RP,Acetyl-DL-carnitine_met_RP
127,Acetyl-DL-carnitine,14-00240,162064800.397308,metabolomics_RP,Acetyl-DL-carnitine_met_RP
128,Acetyl-DL-carnitine,14-00423,89914919.65908402,metabolomics_RP,Acetyl-DL-carnitine_met_RP
129,Acetyl-DL-carnitine,14-00193,264941626.227346,metabolomics_RP,Acetyl-DL-carnitine_met_RP
130,Acetyl-DL-carnitine,14-00270,180599912.235798,metabolomics_RP,Acetyl-DL-carnitine_met_RP
131,Acetyl-DL-carnitine,14-00434,-125746079.04538779,metabolomics_RP,Acetyl-DL-carnitine_met_RP
132,Acetyl-DL-carnitine,14-00477,-136229903.55550218,metabolomics_RP,Acetyl-DL-carnitine_met_RP
133,Acetyl-DL-carnitine,14-00495,440219114.53150207,metabolomics_RP,Acetyl-DL-carnitine_met_RP
134,Acetyl-DL-carnitine,14-00514,-69096560.573928,metabolomics_RP,Acetyl-DL-carnitine_met_RP
135,Acetyl-DL-carnitine,14-00528,13604503.108366013,metabolomics_RP,Acetyl-DL-carnitine_met_RP
136,Acetyl-DL-carnitine,14-00608,-39178871.41677499,metabolomics_RP,Acetyl-DL-carnitine_met_RP
137,Acetyl-DL-carnitine,14-00613,297804138.768549,metabolomics_RP,Acetyl-DL-carnitine_met_RP
138,Acetyl-DL-carnitine,14-00711,-136746850.1406687,metabolomics_RP,Acetyl-DL-carnitine_met_RP
139,Acetyl-DL-carnitine,14-00712,-165963172.4760482,metabolomics_RP,Acetyl-DL-carnitine_met_RP
140,Acetyl-DL-carnitine,15-00043,-11511398.959645987,metabolomics_RP,Acetyl-DL-carnitine_met_RP
141,Acetyl-DL-carnitine,15-00051,85944322.47695702,metabolomics_RP,Acetyl-DL-carnitine_met_RP
142,Acetyl-DL-carnitine,15-00137,-13685360.041046977,metabolomics_RP,Acetyl-DL-carnitine_met_RP
143,Acetyl-DL-carnitine,15-00302,196841038.006267,metabolomics_RP,Acetyl-DL-carnitine_met_RP
144,Acetyl-DL-carnitine,15-00377,36799638.11638802,metabolomics_RP,Acetyl-DL-carnitine_met_RP
145,Acetyl-DL-carnitine,13-00615,338082809.22129005,metabolomics_RP,Acetyl-DL-carnitine_met_RP
146,Acetyl-DL-carnitine,18-00190,-38539169.49114299,metabolomics_RP,Acetyl-DL-carnitine_met_RP
147,Acetyl-DL-carnitine,14-00817,-11687196.48040998,metabolomics_RP,Acetyl-DL-carnitine_met_RP
148,Acetyl-DL-carnitine,15-00276,37261696.709396005,metabolomics_RP,Acetyl-DL-carnitine_met_RP
149,Acetyl-DL-carnitine,15-00287,-9159235.764138997,metabolomics_RP,Acetyl-DL-carnitine_met_RP
150,Acetyl-DL-carnitine,18-00218,-140176345.4736684,metabolomics_RP,Acetyl-DL-carnitine_met_RP
151,Acetyl-DL-carnitine,15-00482,-14696035.224471986,metabolomics_RP,Acetyl-DL-carnitine_met_RP
152,Acetyl-DL-carnitine,15-00563,43703552.97331202,metabolomics_RP,Acetyl-DL-carnitine_met_RP
153,Acetyl-DL-carnitine,15-00571,-25011009.597718,metabolomics_RP,Acetyl-DL-carnitine_met_RP
154,Acetyl-DL-carnitine,15-00578,-147365662.0892033,metabolomics_RP,Acetyl-DL-carnitine_met_RP
155,Acetyl-DL-carnitine,15-00837,-81662189.226341,metabolomics_RP,Acetyl-DL-carnitine_met_RP
156,Adenosine monophosphate (AMP),12-00032,53265206.687693,metabolomics_RP,Adenosine monophosphate (AMP)_met_RP
157,Adenosine monophosphate (AMP),11-00503,-5319989.192885201,metabolomics_RP,Adenosine monophosphate (AMP)_met_RP
158,Adenosine monophosphate (AMP),12-00069,22150358.8675295,metabolomics_RP,Adenosine monophosphate (AMP)_met_RP
159,Adenosine monophosphate (AMP),13-00468,63399027.905247405,metabolomics_RP,Adenosine monophosphate (AMP)_met_RP
160,Adenosine monophosphate (AMP),18-00103,-11972406.812193202,metabolomics_RP,Adenosine monophosphate (AMP)_met_RP
