Dataset	PlexID
PTRC_exp10_Plex_19_P_f01_25Sept20_Rage_Rep-20-08-05	Plex_19
PTRC_exp10_Plex_15_P_f02_25Sept20_Rage_Rep-20-08-05	Plex_15
PTRC_exp10_Plex_21_P_f02_25Sept20_Rage_Rep-20-08-05	Plex_21
PTRC_exp10_Plex_20_P_f02_25Sept20_Rage_Rep-20-08-05	Plex_20
PTRC_exp10_Plex_17_P_f02_25Sept20_Rage_Rep-20-08-05	Plex_17
PTRC_exp10_Plex_19_P_f02_25Sept20_Rage_Rep-20-08-05	Plex_19
PTRC_exp10_Plex_16_P_f02_25Sept20_Rage_Rep-20-08-05	Plex_16
PTRC_exp10_Plex_18_P_f02_25Sept20_Rage_Rep-20-08-05	Plex_18
PTRC_exp10_Plex_17_P_f03_25Sept20_Rage_Rep-20-08-05	Plex_17
PTRC_exp10_Plex_15_P_f03_25Sept20_Rage_Rep-20-08-05	Plex_15
PTRC_exp10_Plex_19_P_f03_25Sept20_Rage_Rep-20-08-05	Plex_19
PTRC_exp10_Plex_16_P_f03_25Sept20_Rage_Rep-20-08-05	Plex_16
PTRC_exp10_Plex_18_P_f03_25Sept20_Rage_Rep-20-08-05	Plex_18
PTRC_exp10_Plex_21_P_f03_25Sept20_Rage_Rep-20-08-05	Plex_21
PTRC_exp10_Plex_20_P_f03_25Sept20_Rage_Rep-20-08-05	Plex_20
PTRC_exp10_Plex_15_P_f04_25Sept20_Rage_Rep-20-08-05	Plex_15
PTRC_exp10_Plex_20_P_f04_25Sept20_Rage_Rep-20-08-05	Plex_20
PTRC_exp10_Plex_16_P_f04_25Sept20_Rage_Rep-20-08-05	Plex_16
PTRC_exp10_Plex_18_P_f04_25Sept20_Rage_Rep-20-08-05	Plex_18
PTRC_exp10_Plex_19_P_f04_25Sept20_Rage_Rep-20-08-05	Plex_19
PTRC_exp10_Plex_21_P_f04_25Sept20_Rage_Rep-20-08-05	Plex_21
PTRC_exp10_Plex_17_P_f04_25Sept20_Rage_Rep-20-08-05	Plex_17
PTRC_exp10_Plex_15_P_f05_25Sept20_Rage_Rep-20-08-05	Plex_15
PTRC_exp10_Plex_21_P_f05_25Sept20_Rage_Rep-20-08-05	Plex_21
PTRC_exp10_Plex_17_P_f05_25Sept20_Rage_Rep-20-08-05	Plex_17
PTRC_exp10_Plex_18_P_f05_25Sept20_Rage_Rep-20-08-05	Plex_18
PTRC_exp10_Plex_16_P_f05_25Sept20_Rage_Rep-20-08-05	Plex_16
PTRC_exp10_Plex_20_P_f05_25Sept20_Rage_Rep-20-08-05	Plex_20
PTRC_exp10_Plex_19_P_f05_25Sept20_Rage_Rep-20-08-05	Plex_19
PTRC_exp10_Plex_18_P_f06_25Sept20_Rage_Rep-20-08-05	Plex_18
PTRC_exp10_Plex_17_P_f06_25Sept20_Rage_Rep-20-08-05	Plex_17
PTRC_exp10_Plex_19_P_f06_25Sept20_Rage_Rep-20-08-05	Plex_19
PTRC_exp10_Plex_15_P_f06_25Sept20_Rage_Rep-20-08-05	Plex_15
PTRC_exp10_Plex_21_P_f06_25Sept20_Rage_Rep-20-08-05	Plex_21
PTRC_exp10_Plex_16_P_f06_25Sept20_Rage_Rep-20-08-05	Plex_16
PTRC_exp10_Plex_20_P_f06_25Sept20_Rage_Rep-20-08-05	Plex_20
PTRC_exp10_Plex_20_P_f07_25Sept20_Rage_Rep-20-08-05	Plex_20
PTRC_exp10_Plex_18_P_f07_25Sept20_Rage_Rep-20-08-05	Plex_18
PTRC_exp10_Plex_16_P_f07_25Sept20_Rage_Rep-20-08-05	Plex_16
PTRC_exp10_Plex_21_P_f07_25Sept20_Rage_Rep-20-08-05	Plex_21
PTRC_exp10_Plex_19_P_f07_25Sept20_Rage_Rep-20-08-05	Plex_19
PTRC_exp10_Plex_17_P_f07_25Sept20_Rage_Rep-20-08-05	Plex_17
PTRC_exp10_Plex_15_P_f07_25Sept20_Rage_Rep-20-08-05	Plex_15
PTRC_exp10_Plex_19_P_f09_25Sept20_Rage_Rep-20-11-16	Plex_19
PTRC_exp10_Plex_15_P_f09_25Sept20_Rage_Rep-20-11-16	Plex_15
PTRC_exp10_Plex_21_P_f09_25Sept20_Rage_Rep-20-11-16	Plex_21
PTRC_exp10_Plex_16_P_f09_25Sept20_Rage_Rep-20-11-16	Plex_16
PTRC_exp10_Plex_20_P_f09_25Sept20_Rage_Rep-20-11-16	Plex_20
PTRC_exp10_Plex_17_P_f09_25Sept20_Rage_Rep-20-11-16	Plex_17
PTRC_exp10_Plex_18_P_f09_25Sept20_Rage_Rep-20-11-16	Plex_18
PTRC_exp10_Plex_17_P_f08_rr_25Sept20_Rage_Rep-20-11-16	Plex_17
PTRC_exp10_Plex_18_P_f08_rr_25Sept20_Rage_Rep-20-11-16	Plex_18
PTRC_exp10_Plex_19_P_f08_rr_25Sept20_Rage_Rep-20-11-16	Plex_19
PTRC_exp10_Plex_20_P_f08_rr_25Sept20_Rage_Rep-20-11-16	Plex_20
PTRC_exp10_Plex_21_P_f08_rr_25Sept20_Rage_Rep-20-11-16	Plex_21
PTRC_exp10_Plex_16_P_f08_rr_25Sept20_Rage_Rep-20-11-16	Plex_16
PTRC_exp10_Plex_15_P_f08_rr_25Sept20_Rage_Rep-20-11-16	Plex_15
PTRC_exp10_Plex_16_P_f10_25Sept20_Rage_Rep-20-11-16	Plex_16
PTRC_exp10_Plex_21_P_f10_25Sept20_Rage_Rep-20-11-16	Plex_21
PTRC_exp10_Plex_18_P_f10_25Sept20_Rage_Rep-20-11-16	Plex_18
PTRC_exp10_Plex_17_P_f10_25Sept20_Rage_Rep-20-11-16	Plex_17
PTRC_exp10_Plex_15_P_f10_25Sept20_Rage_Rep-20-11-16	Plex_15
PTRC_exp10_Plex_19_P_f10_25Sept20_Rage_Rep-20-11-16	Plex_19
PTRC_exp10_Plex_20_P_f10_25Sept20_Rage_Rep-20-11-16	Plex_20
PTRC_exp10_Plex_21_P_f11_25Sept20_Rage_Rep-20-11-16	Plex_21
PTRC_exp10_Plex_18_P_f11_25Sept20_Rage_Rep-20-11-16	Plex_18
PTRC_exp10_Plex_17_P_f11_25Sept20_Rage_Rep-20-11-16	Plex_17
PTRC_exp10_Plex_19_P_f11_25Sept20_Rage_Rep-20-11-16	Plex_19
PTRC_exp10_Plex_15_P_f11_25Sept20_Rage_Rep-20-11-16	Plex_15
PTRC_exp10_Plex_16_P_f11_25Sept20_Rage_Rep-20-11-16	Plex_16
PTRC_exp10_Plex_20_P_f11_25Sept20_Rage_Rep-20-11-16	Plex_20
PTRC_exp10_Plex_15_P_f12_25Sept20_Rage_Rep-20-11-16	Plex_15
PTRC_exp10_Plex_18_P_f12_25Sept20_Rage_Rep-20-11-16	Plex_18
PTRC_exp10_Plex_20_P_f12_25Sept20_Rage_Rep-20-11-16	Plex_20
PTRC_exp10_Plex_21_P_f12_rr_25Sept20_Rage_Rep-20-11-16	Plex_21
PTRC_exp10_Plex_16_P_f12_25Sept20_Rage_Rep-20-11-16	Plex_16
PTRC_exp10_Plex_17_P_f12_25Sept20_Rage_Rep-20-11-16	Plex_17
PTRC_exp10_Plex_19_P_f12_25Sept20_Rage_Rep-20-11-16	Plex_19
